Year,Month,Day,Hour,GOES_Num,Direction,URL,Date
1996,8,29,0,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/08/GridSat-GOES.goes09.1996.08.29.0000.v01.nc,1996-08-29
1996,8,29,4,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/08/GridSat-GOES.goes09.1996.08.29.0400.v01.nc,1996-08-29
1996,8,29,15,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/08/GridSat-GOES.goes09.1996.08.29.1500.v01.nc,1996-08-29
1996,8,29,18,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/08/GridSat-GOES.goes09.1996.08.29.1800.v01.nc,1996-08-29
1996,8,30,0,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/08/GridSat-GOES.goes09.1996.08.30.0000.v01.nc,1996-08-30
1996,8,30,4,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/08/GridSat-GOES.goes09.1996.08.30.0400.v01.nc,1996-08-30
1996,8,30,14,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/08/GridSat-GOES.goes09.1996.08.30.1400.v01.nc,1996-08-30
1996,8,30,18,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/08/GridSat-GOES.goes09.1996.08.30.1800.v01.nc,1996-08-30
1996,8,31,0,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/08/GridSat-GOES.goes09.1996.08.31.0000.v01.nc,1996-08-31
1996,8,31,4,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/08/GridSat-GOES.goes09.1996.08.31.0400.v01.nc,1996-08-31
1996,8,31,14,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/08/GridSat-GOES.goes09.1996.08.31.1400.v01.nc,1996-08-31
1996,8,31,18,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/08/GridSat-GOES.goes09.1996.08.31.1800.v01.nc,1996-08-31
1996,9,1,0,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/09/GridSat-GOES.goes09.1996.09.01.0000.v01.nc,1996-09-01
1996,9,1,4,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/09/GridSat-GOES.goes09.1996.09.01.0400.v01.nc,1996-09-01
1996,9,1,14,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/09/GridSat-GOES.goes09.1996.09.01.1400.v01.nc,1996-09-01
1996,9,1,18,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/09/GridSat-GOES.goes09.1996.09.01.1800.v01.nc,1996-09-01
1996,9,2,0,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/09/GridSat-GOES.goes09.1996.09.02.0000.v01.nc,1996-09-02
1996,9,2,6,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/09/GridSat-GOES.goes09.1996.09.02.0600.v01.nc,1996-09-02
1996,9,2,12,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/09/GridSat-GOES.goes09.1996.09.02.1200.v01.nc,1996-09-02
1996,9,2,18,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/09/GridSat-GOES.goes09.1996.09.02.1800.v01.nc,1996-09-02
1996,9,3,0,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/09/GridSat-GOES.goes09.1996.09.03.0000.v01.nc,1996-09-03
1996,9,3,5,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/09/GridSat-GOES.goes09.1996.09.03.0500.v01.nc,1996-09-03
1996,9,3,12,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/09/GridSat-GOES.goes09.1996.09.03.1200.v01.nc,1996-09-03
1996,9,3,18,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/09/GridSat-GOES.goes09.1996.09.03.1800.v01.nc,1996-09-03
1996,9,4,0,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/09/GridSat-GOES.goes09.1996.09.04.0000.v01.nc,1996-09-04
1996,9,4,6,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/09/GridSat-GOES.goes09.1996.09.04.0600.v01.nc,1996-09-04
1996,9,4,12,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/09/GridSat-GOES.goes09.1996.09.04.1200.v01.nc,1996-09-04
1996,9,4,18,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/09/GridSat-GOES.goes09.1996.09.04.1800.v01.nc,1996-09-04
1996,9,5,0,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/09/GridSat-GOES.goes09.1996.09.05.0000.v01.nc,1996-09-05
1996,9,5,6,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/09/GridSat-GOES.goes09.1996.09.05.0600.v01.nc,1996-09-05
1996,9,5,12,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/09/GridSat-GOES.goes09.1996.09.05.1200.v01.nc,1996-09-05
1996,9,5,18,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/09/GridSat-GOES.goes09.1996.09.05.1800.v01.nc,1996-09-05
1996,9,6,0,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/09/GridSat-GOES.goes09.1996.09.06.0000.v01.nc,1996-09-06
1996,9,6,6,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/09/GridSat-GOES.goes09.1996.09.06.0600.v01.nc,1996-09-06
1996,9,6,12,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/09/GridSat-GOES.goes09.1996.09.06.1200.v01.nc,1996-09-06
1996,9,6,18,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/09/GridSat-GOES.goes09.1996.09.06.1800.v01.nc,1996-09-06
